EmployeeNumber,risk_score,estimated_years_to_departure,risk_tier,urgency
823,0.015794683,,Low,Longer-horizon or stable
824,0.009260556,,Low,Longer-horizon or stable
825,0.39025798,32.0,Medium,Longer-horizon or stable
826,0.015039656,,Low,Longer-horizon or stable
827,0.009323529,,Low,Longer-horizon or stable
828,0.14497495,,Low,Longer-horizon or stable
829,0.110102534,,Low,Longer-horizon or stable
830,0.016981466,,Low,Longer-horizon or stable
832,0.34800088,,Medium,Longer-horizon or stable
833,0.1757901,,Low,Longer-horizon or stable
834,0.070869446,31.0,Low,Longer-horizon or stable
836,0.051501438,,Low,Longer-horizon or stable
837,0.18714578,,Low,Longer-horizon or stable
838,0.06303796,,Low,Longer-horizon or stable
840,0.5297001,,Medium,Longer-horizon or stable
842,0.25199372,,Low,Longer-horizon or stable
843,0.03066526,,Low,Longer-horizon or stable
844,0.021541735,,Low,Longer-horizon or stable
845,0.063847184,,Low,Longer-horizon or stable
846,0.48434594,32.0,Medium,Longer-horizon or stable
847,0.027358787,,Low,Longer-horizon or stable
848,0.38756126,32.0,Medium,Longer-horizon or stable
850,0.022531401,10.0,Low,Longer-horizon or stable
851,0.18837719,,Low,Longer-horizon or stable
852,0.111025006,,Low,Longer-horizon or stable
854,0.22934653,31.0,Low,Longer-horizon or stable
855,0.0067688436,,Low,Longer-horizon or stable
856,0.15667406,,Low,Longer-horizon or stable
857,0.04705105,,Low,Longer-horizon or stable
859,0.06376505,,Low,Longer-horizon or stable
861,0.11356748,,Low,Longer-horizon or stable
862,0.11761715,,Low,Longer-horizon or stable
864,0.0705588,,Low,Longer-horizon or stable
865,0.024654735,,Low,Longer-horizon or stable
867,0.014744053,,Low,Longer-horizon or stable
868,0.05118544,,Low,Longer-horizon or stable
869,0.009984311,,Low,Longer-horizon or stable
872,0.115720235,,Low,Longer-horizon or stable
874,0.08965325,,Low,Longer-horizon or stable
875,0.2490719,31.0,Low,Longer-horizon or stable
878,0.32173288,,Medium,Longer-horizon or stable
879,0.13846016,,Low,Longer-horizon or stable
880,0.03533942,,Low,Longer-horizon or stable
881,0.7057283,32.0,High,Longer-horizon or stable
882,0.0063844873,,Low,Longer-horizon or stable
885,0.41891196,,Medium,Longer-horizon or stable
887,0.031976018,,Low,Longer-horizon or stable
888,0.16780388,,Low,Longer-horizon or stable
889,0.16430083,,Low,Longer-horizon or stable
893,0.12314071,,Low,Longer-horizon or stable
894,0.02995665,,Low,Longer-horizon or stable
895,0.07895765,,Low,Longer-horizon or stable
896,0.29469404,,Low,Longer-horizon or stable
897,0.09810788,,Low,Longer-horizon or stable
899,0.33532837,,Medium,Longer-horizon or stable
900,0.06914434,,Low,Longer-horizon or stable
901,0.01779586,,Low,Longer-horizon or stable
902,0.0078736665,,Low,Longer-horizon or stable
903,0.15054928,,Low,Longer-horizon or stable
904,0.34454924,31.0,Medium,Longer-horizon or stable
905,0.015178353,,Low,Longer-horizon or stable
909,0.0049088006,,Low,Longer-horizon or stable
910,0.15763122,,Low,Longer-horizon or stable
911,0.9686751,7.0,High,Longer-horizon or stable
912,0.039502036,,Low,Longer-horizon or stable
913,0.4975164,,Medium,Longer-horizon or stable
916,0.057702813,,Low,Longer-horizon or stable
918,0.8468835,31.0,High,Longer-horizon or stable
920,0.028163204,,Low,Longer-horizon or stable
922,0.30896676,5.0,Medium,Longer-horizon or stable
923,0.4450357,9.0,Medium,Longer-horizon or stable
924,0.084041364,,Low,Longer-horizon or stable
925,0.38707104,31.0,Medium,Longer-horizon or stable
926,0.1090151,,Low,Longer-horizon or stable
927,0.3545439,,Medium,Longer-horizon or stable
930,0.051294945,,Low,Longer-horizon or stable
932,0.9133841,14.0,High,Longer-horizon or stable
933,0.2517454,10.0,Low,Longer-horizon or stable
934,0.23258449,,Low,Longer-horizon or stable
936,0.17011487,,Low,Longer-horizon or stable
939,0.69328064,31.0,High,Longer-horizon or stable
940,0.023916598,,Low,Longer-horizon or stable
941,0.6004759,32.0,High,Longer-horizon or stable
942,0.024469875,,Low,Longer-horizon or stable
944,0.107692644,,Low,Longer-horizon or stable
945,0.14446019,,Low,Longer-horizon or stable
947,0.04073739,,Low,Longer-horizon or stable
949,0.0059181787,,Low,Longer-horizon or stable
950,0.0045825765,,Low,Longer-horizon or stable
951,0.1401381,31.0,Low,Longer-horizon or stable
952,0.95247906,5.0,High,Longer-horizon or stable
954,0.3344321,,Medium,Longer-horizon or stable
956,0.27318883,,Low,Longer-horizon or stable
957,0.13280407,,Low,Longer-horizon or stable
958,0.057600405,,Low,Longer-horizon or stable
959,0.9799313,2.0,High,Near-term
960,0.91144204,6.0,High,Longer-horizon or stable
961,0.12752241,,Low,Longer-horizon or stable
964,0.2621104,,Low,Longer-horizon or stable
966,0.032568514,,Low,Longer-horizon or stable
967,0.13303794,,Low,Longer-horizon or stable
969,0.03189446,,Low,Longer-horizon or stable
970,0.88723433,32.0,High,Longer-horizon or stable
972,0.032409165,,Low,Longer-horizon or stable
974,0.24388489,,Low,Longer-horizon or stable
975,0.11923353,,Low,Longer-horizon or stable
976,0.005967537,,Low,Longer-horizon or stable
977,0.3183757,,Medium,Longer-horizon or stable
981,0.038431086,,Low,Longer-horizon or stable
982,0.35010266,,Medium,Longer-horizon or stable
983,0.11331304,,Low,Longer-horizon or stable
984,0.015017308,,Low,Longer-horizon or stable
985,0.036976475,,Low,Longer-horizon or stable
986,0.30446634,,Medium,Longer-horizon or stable
987,0.046248037,,Low,Longer-horizon or stable
990,0.011121352,,Low,Longer-horizon or stable
991,0.8826508,17.0,High,Longer-horizon or stable
992,0.08080045,,Low,Longer-horizon or stable
994,0.8197309,10.0,High,Longer-horizon or stable
995,0.10661662,,Low,Longer-horizon or stable
996,0.0068037733,,Low,Longer-horizon or stable
997,0.0014975036,,Low,Longer-horizon or stable
998,0.045621537,,Low,Longer-horizon or stable
999,0.02556396,,Low,Longer-horizon or stable
1001,0.3564851,,Medium,Longer-horizon or stable
1002,0.05467627,,Low,Longer-horizon or stable
1003,0.048620295,,Low,Longer-horizon or stable
1004,0.74080247,13.0,High,Longer-horizon or stable
1005,0.026633408,,Low,Longer-horizon or stable
1006,0.1985958,,Low,Longer-horizon or stable
1007,0.013761696,,Low,Longer-horizon or stable
1009,0.010279861,,Low,Longer-horizon or stable
1010,0.6815701,,High,Longer-horizon or stable
1011,0.031166434,,Low,Longer-horizon or stable
1012,0.099904105,4.0,Low,Longer-horizon or stable
1013,0.08109057,,Low,Longer-horizon or stable
1014,0.15154761,,Low,Longer-horizon or stable
1015,0.03318139,,Low,Longer-horizon or stable
1016,0.951746,4.0,High,Longer-horizon or stable
1017,0.57673216,,Medium,Longer-horizon or stable
1018,0.0029382745,,Low,Longer-horizon or stable
1019,0.58141696,32.0,Medium,Longer-horizon or stable
1022,0.0815628,,Low,Longer-horizon or stable
1024,0.15110922,,Low,Longer-horizon or stable
1025,0.0075434595,,Low,Longer-horizon or stable
1026,0.009115829,,Low,Longer-horizon or stable
1027,0.019224254,,Low,Longer-horizon or stable
1028,0.08247366,,Low,Longer-horizon or stable
1029,0.022775361,,Low,Longer-horizon or stable
1030,0.11105265,32.0,Low,Longer-horizon or stable
1032,0.016452141,,Low,Longer-horizon or stable
1033,0.81308264,,High,Longer-horizon or stable
1034,0.14389305,,Low,Longer-horizon or stable
1035,0.0084448,,Low,Longer-horizon or stable
1036,0.18781775,,Low,Longer-horizon or stable
1037,0.4795244,23.0,Medium,Longer-horizon or stable
1038,0.6419379,,High,Longer-horizon or stable
1039,0.050665088,,Low,Longer-horizon or stable
1040,0.004394228,,Low,Longer-horizon or stable
1042,0.35185856,,Medium,Longer-horizon or stable
1043,0.10025725,,Low,Longer-horizon or stable
1044,0.09751813,31.0,Low,Longer-horizon or stable
1045,0.0046625175,,Low,Longer-horizon or stable
1046,0.070844665,,Low,Longer-horizon or stable
1047,0.012128702,,Low,Longer-horizon or stable
1048,0.06201455,,Low,Longer-horizon or stable
1049,0.30240566,,Medium,Longer-horizon or stable
1050,0.27879336,,Low,Longer-horizon or stable
1052,0.38247877,,Medium,Longer-horizon or stable
1053,0.9324813,18.0,High,Longer-horizon or stable
1055,0.32803416,10.0,Medium,Longer-horizon or stable
1056,0.29234168,9.0,Low,Longer-horizon or stable
1060,0.0836177,,Low,Longer-horizon or stable
1061,0.109835155,,Low,Longer-horizon or stable
1062,0.07548404,,Low,Longer-horizon or stable
1066,0.41892523,,Medium,Longer-horizon or stable
1068,0.018938504,,Low,Longer-horizon or stable
1069,0.008279139,,Low,Longer-horizon or stable
1070,0.23061526,,Low,Longer-horizon or stable
1071,0.07554267,,Low,Longer-horizon or stable
1073,0.14903799,,Low,Longer-horizon or stable
1074,0.07336703,,Low,Longer-horizon or stable
1076,0.028568652,,Low,Longer-horizon or stable
1077,0.82942307,5.0,High,Longer-horizon or stable
1079,0.92881894,5.0,High,Longer-horizon or stable
1080,0.05079698,,Low,Longer-horizon or stable
1081,0.505295,,Medium,Longer-horizon or stable
1082,0.6097102,,High,Longer-horizon or stable
1083,0.40247884,,Medium,Longer-horizon or stable
1084,0.12828553,,Low,Longer-horizon or stable
1085,0.01212632,,Low,Longer-horizon or stable
1088,0.064922936,,Low,Longer-horizon or stable
1092,0.043538325,,Low,Longer-horizon or stable
1094,0.08518425,,Low,Longer-horizon or stable
1096,0.018945917,,Low,Longer-horizon or stable
1097,0.030844303,,Low,Longer-horizon or stable
1098,0.23300233,,Low,Longer-horizon or stable
1099,0.008293454,,Low,Longer-horizon or stable
1100,0.62127024,31.0,High,Longer-horizon or stable
1101,0.30793098,,Medium,Longer-horizon or stable
1102,0.103209466,,Low,Longer-horizon or stable
1103,0.07151886,,Low,Longer-horizon or stable
1105,0.024022443,,Low,Longer-horizon or stable
1106,0.20333458,,Low,Longer-horizon or stable
1107,0.7862378,8.0,High,Longer-horizon or stable
1108,0.96707827,13.0,High,Longer-horizon or stable
1109,0.0076934374,,Low,Longer-horizon or stable
1111,0.72612363,,High,Longer-horizon or stable
1113,0.4045436,,Medium,Longer-horizon or stable
1114,0.04868427,,Low,Longer-horizon or stable
1115,0.00765068,,Low,Longer-horizon or stable
1116,0.0017729476,,Low,Longer-horizon or stable
1117,0.015419122,,Low,Longer-horizon or stable
1118,0.19536453,,Low,Longer-horizon or stable
1119,0.22029135,,Low,Longer-horizon or stable
1120,0.0348945,,Low,Longer-horizon or stable
1121,0.011657113,,Low,Longer-horizon or stable
1124,0.097606145,,Low,Longer-horizon or stable
1125,0.196484,,Low,Longer-horizon or stable
1126,0.13674174,,Low,Longer-horizon or stable
1127,0.19585288,,Low,Longer-horizon or stable
1128,0.19276376,,Low,Longer-horizon or stable
1131,0.39430615,8.0,Medium,Longer-horizon or stable
1132,0.31586462,,Medium,Longer-horizon or stable
1133,0.05106179,,Low,Longer-horizon or stable
1135,0.12183626,,Low,Longer-horizon or stable
1136,0.33677098,,Medium,Longer-horizon or stable
1137,0.03145077,,Low,Longer-horizon or stable
1138,0.1329601,,Low,Longer-horizon or stable
1140,0.11305175,,Low,Longer-horizon or stable
1143,0.019266155,,Low,Longer-horizon or stable
1148,0.33364815,,Medium,Longer-horizon or stable
1150,0.070968606,,Low,Longer-horizon or stable
1152,0.005915153,,Low,Longer-horizon or stable
1154,0.33596212,,Medium,Longer-horizon or stable
1156,0.6374573,1.0,High,Near-term
1157,0.839941,24.0,High,Longer-horizon or stable
1158,0.3909995,,Medium,Longer-horizon or stable
1160,0.23329602,,Low,Longer-horizon or stable
1161,0.012903008,,Low,Longer-horizon or stable
1162,0.026950205,,Low,Longer-horizon or stable
1163,0.121455885,,Low,Longer-horizon or stable
1164,0.54363984,,Medium,Longer-horizon or stable
1165,0.3910074,,Medium,Longer-horizon or stable
1166,0.06969112,,Low,Longer-horizon or stable
1167,0.7764749,31.0,High,Longer-horizon or stable
1171,0.35251284,,Medium,Longer-horizon or stable
1172,0.11247697,,Low,Longer-horizon or stable
1173,0.263817,31.0,Low,Longer-horizon or stable
1175,0.8561411,7.0,High,Longer-horizon or stable
1177,0.009939712,,Low,Longer-horizon or stable
1179,0.16899252,,Low,Longer-horizon or stable
1180,0.10849957,,Low,Longer-horizon or stable
1182,0.035690594,,Low,Longer-horizon or stable
1184,0.047790155,,Low,Longer-horizon or stable
1185,0.062230073,,Low,Longer-horizon or stable
1188,0.9126149,31.0,High,Longer-horizon or stable
1190,0.03088111,,Low,Longer-horizon or stable
1191,0.033498347,,Low,Longer-horizon or stable
1192,0.011879164,,Low,Longer-horizon or stable
1193,0.41699564,7.0,Medium,Longer-horizon or stable
1195,0.08016466,,Low,Longer-horizon or stable
1196,0.004625951,,Low,Longer-horizon or stable
1198,0.84306794,9.0,High,Longer-horizon or stable
1200,0.20113371,,Low,Longer-horizon or stable
1201,0.0013396109,,Low,Longer-horizon or stable
1202,0.55992395,,Medium,Longer-horizon or stable
1203,0.5323164,10.0,Medium,Longer-horizon or stable
1204,0.07144857,,Low,Longer-horizon or stable
1206,0.07002918,,Low,Longer-horizon or stable
1207,0.021996206,,Low,Longer-horizon or stable
1210,0.5935616,,Medium,Longer-horizon or stable
1211,0.13161753,,Low,Longer-horizon or stable
1212,0.15606809,,Low,Longer-horizon or stable
1215,0.0021122291,,Low,Longer-horizon or stable
1216,0.09424482,,Low,Longer-horizon or stable
1217,0.013818622,,Low,Longer-horizon or stable
1218,0.21652707,,Low,Longer-horizon or stable
1219,0.6802936,9.0,High,Longer-horizon or stable
1220,0.14869052,,Low,Longer-horizon or stable
1221,0.04402148,,Low,Longer-horizon or stable
1224,0.14180729,,Low,Longer-horizon or stable
1225,0.017083628,,Low,Longer-horizon or stable
1226,0.2748402,10.0,Low,Longer-horizon or stable
1228,0.009919714,,Low,Longer-horizon or stable
1231,0.005872622,,Low,Longer-horizon or stable
1233,0.013184253,,Low,Longer-horizon or stable
1234,0.30670837,,Medium,Longer-horizon or stable
1235,0.106076814,,Low,Longer-horizon or stable
1237,0.058353126,,Low,Longer-horizon or stable
1238,0.012043539,,Low,Longer-horizon or stable
1239,0.13550556,,Low,Longer-horizon or stable
1240,0.06463697,,Low,Longer-horizon or stable
1241,0.077044934,,Low,Longer-horizon or stable
1242,0.20893,,Low,Longer-horizon or stable
1243,0.1608925,,Low,Longer-horizon or stable
1244,0.5715205,,Medium,Longer-horizon or stable
1245,0.032021318,,Low,Longer-horizon or stable
1246,0.004777811,,Low,Longer-horizon or stable
1248,0.89613885,1.0,High,Near-term
1249,0.00943448,,Low,Longer-horizon or stable
1250,0.0028481823,,Low,Longer-horizon or stable
1251,0.2988872,,Low,Longer-horizon or stable
1252,0.14940478,,Low,Longer-horizon or stable
1254,0.01388929,,Low,Longer-horizon or stable
1255,0.030497843,,Low,Longer-horizon or stable
1256,0.028009446,,Low,Longer-horizon or stable
1257,0.25154358,,Low,Longer-horizon or stable
1258,0.39733973,,Medium,Longer-horizon or stable
1259,0.029891698,,Low,Longer-horizon or stable
1260,0.019890264,,Low,Longer-horizon or stable
1263,0.0070864065,,Low,Longer-horizon or stable
1264,0.0014870889,,Low,Longer-horizon or stable
1265,0.13856113,,Low,Longer-horizon or stable
1267,0.07936807,,Low,Longer-horizon or stable
1268,0.0352378,,Low,Longer-horizon or stable
1269,0.4889493,5.0,Medium,Longer-horizon or stable
1270,0.041948017,17.0,Low,Longer-horizon or stable
1273,0.9899558,7.0,High,Longer-horizon or stable
1275,0.22978005,31.0,Low,Longer-horizon or stable
1277,0.41508883,32.0,Medium,Longer-horizon or stable
1278,0.032358497,,Low,Longer-horizon or stable
1279,0.8723857,10.0,High,Longer-horizon or stable
1280,0.01740296,,Low,Longer-horizon or stable
1281,0.29498756,32.0,Low,Longer-horizon or stable
1282,0.1465271,,Low,Longer-horizon or stable
1283,0.022133054,,Low,Longer-horizon or stable
1285,0.08020544,,Low,Longer-horizon or stable
1286,0.63955873,17.0,High,Longer-horizon or stable
1288,0.014942271,,Low,Longer-horizon or stable
1289,0.10162248,,Low,Longer-horizon or stable
1291,0.17542246,,Low,Longer-horizon or stable
1292,0.1772515,31.0,Low,Longer-horizon or stable
1293,0.062792115,,Low,Longer-horizon or stable
1294,0.08208767,,Low,Longer-horizon or stable
1295,0.036359083,,Low,Longer-horizon or stable
1296,0.2011951,,Low,Longer-horizon or stable
1297,0.16008008,,Low,Longer-horizon or stable
1298,0.08337716,32.0,Low,Longer-horizon or stable
1299,0.6525059,,High,Longer-horizon or stable
1301,0.49581185,32.0,Medium,Longer-horizon or stable
1303,0.058219317,32.0,Low,Longer-horizon or stable
1304,0.0068525113,,Low,Longer-horizon or stable
1306,0.056275006,,Low,Longer-horizon or stable
1307,0.041154496,,Low,Longer-horizon or stable
1308,0.06420016,,Low,Longer-horizon or stable
1309,0.0590534,,Low,Longer-horizon or stable
1310,0.22108684,,Low,Longer-horizon or stable
1311,0.087830685,,Low,Longer-horizon or stable
1312,0.14384517,,Low,Longer-horizon or stable
1314,0.09230615,,Low,Longer-horizon or stable
1315,0.01587774,,Low,Longer-horizon or stable
1317,0.052823838,,Low,Longer-horizon or stable
1318,0.7190978,31.0,High,Longer-horizon or stable
1319,0.92633015,24.0,High,Longer-horizon or stable
1321,0.07350292,,Low,Longer-horizon or stable
1322,0.09530361,,Low,Longer-horizon or stable
1324,0.040674016,,Low,Longer-horizon or stable
1329,0.19490251,,Low,Longer-horizon or stable
1331,0.91435266,10.0,High,Longer-horizon or stable
1333,0.43415597,32.0,Medium,Longer-horizon or stable
1334,0.012203493,,Low,Longer-horizon or stable
1336,0.01755335,,Low,Longer-horizon or stable
1338,0.07553022,,Low,Longer-horizon or stable
1340,0.021786436,,Low,Longer-horizon or stable
1344,0.015538774,,Low,Longer-horizon or stable
1346,0.017253624,,Low,Longer-horizon or stable
1349,0.029083928,,Low,Longer-horizon or stable
1350,0.18370074,,Low,Longer-horizon or stable
1352,0.0150367655,,Low,Longer-horizon or stable
1355,0.020067686,,Low,Longer-horizon or stable
1356,0.05200582,,Low,Longer-horizon or stable
1358,0.031816915,,Low,Longer-horizon or stable
1360,0.781438,,High,Longer-horizon or stable
1361,0.06909981,,Low,Longer-horizon or stable
1362,0.16471823,,Low,Longer-horizon or stable
1363,0.021200381,,Low,Longer-horizon or stable
1364,0.06907258,,Low,Longer-horizon or stable
1367,0.1612502,,Low,Longer-horizon or stable
1368,0.07226528,2.0,Low,Near-term
1369,0.008459278,,Low,Longer-horizon or stable
1371,0.11263665,,Low,Longer-horizon or stable
1372,0.8213407,31.0,High,Longer-horizon or stable
1373,0.192133,,Low,Longer-horizon or stable
1374,0.044703662,,Low,Longer-horizon or stable
1375,0.006283935,,Low,Longer-horizon or stable
1377,0.37561762,,Medium,Longer-horizon or stable
1379,0.50541174,24.0,Medium,Longer-horizon or stable
1380,0.8570154,,High,Longer-horizon or stable
1382,0.009557544,,Low,Longer-horizon or stable
1383,0.008941153,,Low,Longer-horizon or stable
1387,0.1679327,,Low,Longer-horizon or stable
1389,0.19743055,,Low,Longer-horizon or stable
1390,0.25532618,,Low,Longer-horizon or stable
1391,0.44254544,,Medium,Longer-horizon or stable
1392,0.119587995,,Low,Longer-horizon or stable
1394,0.21783158,,Low,Longer-horizon or stable
1395,0.41421506,,Medium,Longer-horizon or stable
1396,0.3420914,,Medium,Longer-horizon or stable
1397,0.012645015,,Low,Longer-horizon or stable
1399,0.29031548,32.0,Low,Longer-horizon or stable
1401,0.021970728,,Low,Longer-horizon or stable
1402,0.2813946,,Low,Longer-horizon or stable
1403,0.3314462,,Medium,Longer-horizon or stable
1405,0.44873652,17.0,Medium,Longer-horizon or stable
1407,0.03581519,,Low,Longer-horizon or stable
1408,0.0019412412,,Low,Longer-horizon or stable
1409,0.33407438,,Medium,Longer-horizon or stable
1411,0.13795388,,Low,Longer-horizon or stable
1412,0.091795295,,Low,Longer-horizon or stable
1415,0.24571201,,Low,Longer-horizon or stable
1417,0.044552434,,Low,Longer-horizon or stable
1419,0.6802425,,High,Longer-horizon or stable
1420,0.8105843,32.0,High,Longer-horizon or stable
1421,0.7483396,31.0,High,Longer-horizon or stable
1422,0.011582821,,Low,Longer-horizon or stable
1423,0.01779507,,Low,Longer-horizon or stable
1424,0.0008154907,,Low,Longer-horizon or stable
1425,0.2242559,31.0,Low,Longer-horizon or stable
1427,0.9088437,4.0,High,Longer-horizon or stable
1428,0.049840674,,Low,Longer-horizon or stable
1430,0.075001776,,Low,Longer-horizon or stable
1431,0.035409737,,Low,Longer-horizon or stable
1433,0.5779185,9.0,Medium,Longer-horizon or stable
1434,0.36201835,,Medium,Longer-horizon or stable
1435,0.18230581,,Low,Longer-horizon or stable
1436,0.29737267,,Low,Longer-horizon or stable
1438,0.15455274,,Low,Longer-horizon or stable
1439,0.788813,32.0,High,Longer-horizon or stable
1440,0.30622673,,Medium,Longer-horizon or stable
1441,0.047056682,,Low,Longer-horizon or stable
1443,0.01414932,,Low,Longer-horizon or stable
1445,0.02993444,,Low,Longer-horizon or stable
1446,0.071749195,,Low,Longer-horizon or stable
1447,0.100391485,,Low,Longer-horizon or stable
1448,0.28451216,31.0,Low,Longer-horizon or stable
1449,0.017575657,,Low,Longer-horizon or stable
1453,0.07231318,,Low,Longer-horizon or stable
1457,0.32372728,,Medium,Longer-horizon or stable
1458,0.7098591,24.0,High,Longer-horizon or stable
1459,0.37845027,,Medium,Longer-horizon or stable
1460,0.16556862,,Low,Longer-horizon or stable
1461,0.057718683,24.0,Low,Longer-horizon or stable
1464,0.8803217,,High,Longer-horizon or stable
1465,0.06538079,,Low,Longer-horizon or stable
1466,0.040675163,,Low,Longer-horizon or stable
1467,0.5736417,,Medium,Longer-horizon or stable
1468,0.0028685904,,Low,Longer-horizon or stable
1469,0.10430524,,Low,Longer-horizon or stable
1471,0.035434965,,Low,Longer-horizon or stable
1472,0.011780506,,Low,Longer-horizon or stable
1473,0.1393486,,Low,Longer-horizon or stable
1474,0.0149504775,,Low,Longer-horizon or stable
1475,0.098706625,,Low,Longer-horizon or stable
1477,0.10349453,,Low,Longer-horizon or stable
1478,0.22150536,,Low,Longer-horizon or stable
1479,0.21695368,,Low,Longer-horizon or stable
1480,0.06458096,,Low,Longer-horizon or stable
1481,0.1999958,,Low,Longer-horizon or stable
1482,0.17494501,,Low,Longer-horizon or stable
1483,0.025535207,,Low,Longer-horizon or stable
1484,0.008632531,,Low,Longer-horizon or stable
1485,0.08915014,,Low,Longer-horizon or stable
1486,0.46494237,,Medium,Longer-horizon or stable
1487,0.93892294,19.0,High,Longer-horizon or stable
1489,0.7359957,24.0,High,Longer-horizon or stable
1492,0.11713653,32.0,Low,Longer-horizon or stable
1494,0.9822174,10.0,High,Longer-horizon or stable
1495,0.16676143,6.0,Low,Longer-horizon or stable
1496,0.3906504,32.0,Medium,Longer-horizon or stable
1497,0.059453316,,Low,Longer-horizon or stable
1499,0.06745377,,Low,Longer-horizon or stable
1501,0.12846509,,Low,Longer-horizon or stable
1502,0.23286346,,Low,Longer-horizon or stable
1503,0.20832436,,Low,Longer-horizon or stable
1504,0.90636337,,High,Longer-horizon or stable
1506,0.2287693,10.0,Low,Longer-horizon or stable
1507,0.17849082,,Low,Longer-horizon or stable
1509,0.15878487,,Low,Longer-horizon or stable
1513,0.03593558,,Low,Longer-horizon or stable
1514,0.18066038,,Low,Longer-horizon or stable
1515,0.11804675,,Low,Longer-horizon or stable
1516,0.007625308,,Low,Longer-horizon or stable
1520,0.009968256,,Low,Longer-horizon or stable
1522,0.8922799,15.0,High,Longer-horizon or stable
1523,0.02868972,,Low,Longer-horizon or stable
1525,0.03968796,,Low,Longer-horizon or stable
1527,0.05107436,,Low,Longer-horizon or stable
1529,0.23230815,,Low,Longer-horizon or stable
1533,0.36677322,21.0,Medium,Longer-horizon or stable
1534,0.65932316,24.0,High,Longer-horizon or stable
1535,0.15204766,,Low,Longer-horizon or stable
1537,0.41723517,,Medium,Longer-horizon or stable
1539,0.21500091,,Low,Longer-horizon or stable
1541,0.5530081,,Medium,Longer-horizon or stable
1542,0.07104312,,Low,Longer-horizon or stable
1543,0.12195447,,Low,Longer-horizon or stable
1544,0.030084897,,Low,Longer-horizon or stable
1545,0.044226427,,Low,Longer-horizon or stable
1546,0.03681717,,Low,Longer-horizon or stable
1547,0.099725135,,Low,Longer-horizon or stable
1548,0.084158406,,Low,Longer-horizon or stable
1549,0.18791568,,Low,Longer-horizon or stable
1550,0.022445278,,Low,Longer-horizon or stable
1551,0.582555,,Medium,Longer-horizon or stable
1552,0.013534129,,Low,Longer-horizon or stable
1553,0.1380125,,Low,Longer-horizon or stable
1554,0.062200468,,Low,Longer-horizon or stable
1555,0.03592098,,Low,Longer-horizon or stable
1556,0.28641143,31.0,Low,Longer-horizon or stable
1557,0.057872623,,Low,Longer-horizon or stable
1558,0.25553033,,Low,Longer-horizon or stable
1560,0.08983003,,Low,Longer-horizon or stable
1562,0.14910333,,Low,Longer-horizon or stable
1563,0.15421954,,Low,Longer-horizon or stable
1564,0.15350801,,Low,Longer-horizon or stable
1568,0.19417194,,Low,Longer-horizon or stable
1569,0.5359311,10.0,Medium,Longer-horizon or stable
1572,0.13968028,,Low,Longer-horizon or stable
1573,0.090110995,,Low,Longer-horizon or stable
1574,0.018043403,,Low,Longer-horizon or stable
1576,0.12017741,,Low,Longer-horizon or stable
1577,0.18728001,31.0,Low,Longer-horizon or stable
1578,0.19561659,,Low,Longer-horizon or stable
1580,0.029535163,,Low,Longer-horizon or stable
1581,0.1798417,10.0,Low,Longer-horizon or stable
1582,0.09726269,,Low,Longer-horizon or stable
1583,0.12557667,,Low,Longer-horizon or stable
1585,0.08853161,,Low,Longer-horizon or stable
1586,0.28472206,,Low,Longer-horizon or stable
1587,0.14389746,32.0,Low,Longer-horizon or stable
1588,0.064301476,,Low,Longer-horizon or stable
1590,0.028661927,,Low,Longer-horizon or stable
1591,0.10834755,,Low,Longer-horizon or stable
1592,0.052948624,,Low,Longer-horizon or stable
1594,0.18353014,,Low,Longer-horizon or stable
1595,0.01095599,,Low,Longer-horizon or stable
1596,0.08319817,,Low,Longer-horizon or stable
1597,0.101708725,,Low,Longer-horizon or stable
1598,0.031504508,,Low,Longer-horizon or stable
1599,0.054281514,,Low,Longer-horizon or stable
1601,0.091948025,,Low,Longer-horizon or stable
1602,0.022371944,,Low,Longer-horizon or stable
1604,0.87249523,7.0,High,Longer-horizon or stable
1605,0.53275615,17.0,Medium,Longer-horizon or stable
1606,0.30189133,,Medium,Longer-horizon or stable
1607,0.0040448913,,Low,Longer-horizon or stable
1608,0.005062863,,Low,Longer-horizon or stable
1609,0.098831646,,Low,Longer-horizon or stable
1611,0.4814248,,Medium,Longer-horizon or stable
1612,0.30930504,,Medium,Longer-horizon or stable
1613,0.1866769,,Low,Longer-horizon or stable
1614,0.1337507,,Low,Longer-horizon or stable
1615,0.034140576,,Low,Longer-horizon or stable
1617,0.08963932,,Low,Longer-horizon or stable
1618,0.060983166,,Low,Longer-horizon or stable
1619,0.040140115,,Low,Longer-horizon or stable
1621,0.017687667,,Low,Longer-horizon or stable
1622,0.08395089,,Low,Longer-horizon or stable
1623,0.04920323,31.0,Low,Longer-horizon or stable
1624,0.9285436,1.0,High,Near-term
1625,0.015711648,,Low,Longer-horizon or stable
1627,0.02108907,,Low,Longer-horizon or stable
1628,0.089760095,,Low,Longer-horizon or stable
1630,0.0013562862,,Low,Longer-horizon or stable
1631,0.13276792,,Low,Longer-horizon or stable
1633,0.11404178,,Low,Longer-horizon or stable
1635,0.005328896,,Low,Longer-horizon or stable
1638,0.0036549985,,Low,Longer-horizon or stable
1639,0.57123053,,Medium,Longer-horizon or stable
1640,0.17289796,,Low,Longer-horizon or stable
1641,0.13628337,32.0,Low,Longer-horizon or stable
1642,0.070301235,,Low,Longer-horizon or stable
